Ticker	Amount	ExDivDate	ReinvestmentPrice
VAS	0.71061	02/01/2019	71.426
VAS	1.127434	01/10/2018	78.7665
VAS	1.017294	02/07/2018	78.7562
VAS	0.66525596	03/04/2018	73.6417
VAS	0.680989	02/01/2018	77.2414
VAS	1.008811	02/10/2017	72.3572
VAS	0.452866	03/07/2017	72.7802
VAS	0.540283	03/04/2017	74.4285
VAS	0.92779803	03/01/2017	71.6026
VAS	1.0201371	04/10/2016	69.6807
VGS	0.390286	02/01/2019	64.7719
VGS	0.303549	01/10/2018	73.2747
VGS	0.908573	02/07/2018	68.5355
VGS	0.20967501	03/04/2018	65.7512
VGS	0.303604	02/01/2018	65.4719
VGS	0.237575	02/10/2017	62.1706
VGS	0.98513603	03/07/2017	60.8605
VGS	0.265001	03/04/2017	59.6594
VGS	0.355383	03/01/2017	59.4136
VGS	0.24906601	04/10/2016	55.3439
VGE	0.319388	02/01/2019	60.5456
VGE	0.55200803	01/10/2018	63.4104
VGE	0.282836	02/07/2018	63.9
VGE	0.053592	03/04/2018	68.5021
VGE	0.235353	02/01/2018	65.655
VGE	0.555631	02/10/2017	62.1302
VGE	0.26331	03/07/2017	59.5444
VGE	0.048857003	03/04/2017	58.236
VGE	0.183537	03/01/2017	55.2795
VGE	0.49740002	04/10/2016	55.3146
